No.,Date,Account,Note,Amount,Label,Time
287,13-08-2022,Pocket,dinner,30,0.0,0
288,14-08-2022,Pocket,dinner,70,500.0,0
289,16-08-2022,Pocket,dinner,70,0.0,0
290,17-08-2022,Pocket,dinner,30,0.0,0
291,18-08-2022,Pocket,dinner,40,0.0,0
292,19-08-2022,Pocket,dinner,70,0.0,0
293,21-08-2022,Pocket,dinner,70,0.0,0
294,27-08-2022,Pocket,Rajan paid for dinner ,0,175.0,0
295,28-08-2022,Pocket,dinner,70,0.0,0
296,31-08-2022,Pocket,riksha + ice cream,25,0.0,0
297,03-09-2022,Pocket,Rajan paid for dinner ,0,200.0,0
298,04-09-2022,Pocket,jittam,40,60.0,0
299,04-09-2022,Pocket,dinner,60,0.0,0
300,04-09-2022,Pocket,lunch,30,0.0,0
301,06-09-2022,Pocket,dinner,60,0.0,0
302,09-09-2022,Pocket,dinner,20,0.0,0
303,10-09-2022,Pocket,dinner,80,0.0,0
304,11-09-2022,Pocket,dinner,50,28.0,0
305,12-09-2022,Pocket,dinner,30,0.0,0
306,13-09-2022,Pocket,dinner,70,50.0,0
307,18-09-2022,Pocket,Lunch ,100,0.0,0
308,18-09-2022,Pocket,dinner ,60,0.0,0
309,24-09-2022,Pocket,dinner,35,0.0,0
310,25-09-2022,Pocket,dinner,60,50.0,0
311,25-09-2022,Pocket,jct journal,18,100.0,0
312,27-09-2022,Pocket,dinner,35,0.0,0
313,28-09-2022,Pocket,dinner,35,0.0,0
314,29-09-2022,Pocket,dinner,35,0.0,0
315,30-09-2022,Pocket,dinner,35,0.0,0
316,01-10-2022,Pocket,from Rajan ,0,500.0,0
317,02-10-2022,Pocket,dinner,35,0.0,0
318,03-10-2022,Pocket,dinner,35,0.0,0
319,04-10-2022,Pocket,dinner,35,0.0,0
320,05-10-2022,Pocket,dinner,35,0.0,0
321,06-10-2022,Pocket,dinner,35,0.0,0
322,07-10-2022,Pocket,રિસ્ક્ષા,100,0.0,0
323,08-10-2022,Pocket,riksha and nasto,100,0.0,0
324,09-10-2022,Pocket,dinner,35,0.0,0
325,10-10-2022,Pocket,dinner,35,0.0,0
